134;2244
209;700
210;691
212;687
213;686
214;690
216;699
217;728
218;1690
221;830
223;823
224;821
225;828
226;848
227;3232
228;3176
230;3104
231;3015
232;2889
243;2809
244;2744
245;2658
247;2622
248;2591
249;2563
250;2554
252;2471
253;1342
255;1321
256;1303
257;1297
258;1286
260;1261
261;1272
262;1276
263;1309
264;1255
266;1255
267;1265
270;2046
271;2039
272;2055
274;2052
275;2068
276;2060
278;2076
279;2079
280;2103
281;2118
303;2427
307;2748
308;2801
309;2854
310;2931
312;3430
313;3378
314;2485
316;2450
317;2538
318;2484
319;2585
320;3029
322;2949
337;2167
339;2109
340;2487
342;2470
343;2453
344;2462
345;2433
347;2426
348;2406
349;2375
